tag /tæg/ n.附加语;标签
tailor /‘teilə/ n.裁缝vt.裁制衣服
tale /teil/ n.故事，传说
talent /‘tælənt/ n.天才;才能;人才
talk /tɔ:k/ vi.讲话vt.谈论
tame /teim/ a.驯服的;顺从的
tank /tæŋk/ n.坦克;大容器，槽
tap /tæp/ vt.&vi.&n.轻叩
tap /tæp/ n.塞子;龙头vt.开发
taste /teist/ n.味觉，品味
technical /‘teknikəl/ a.技术的，工艺的
technician /tek’niʃən/ n.技术员，技师
tedious /‘ti:diəs/ a.冗长乏味的，沉闷的
telegram /‘teligræm/ n.电报
telescope /‘teliskəup/ n.望远镜
temple /‘templ/ n.圣堂，神殿，庙宇
temporary /‘tempərəri/ a.暂时的，临时的
tempt /tempt/ vt.引诱，诱惑;吸引
temptation /temp’teiʃən/ n.诱惑，引诱
tend /tend/ vt.照管，照料，护理
tend /tend/ vi.走向，趋向;倾向
tendency /‘tendənsi/ n.趋向，趋势，倾向
tender /‘tendə/ a.嫩的;脆弱的
tense /tens/ n.时态，时
tense /tens/ a.拉紧的，绷紧的
tension /‘tenʃən/ n.紧张,不安,拉紧,张力
terminal /‘tə:minl/ a.末端的n.末端
terrible /‘terəbl/ a.可怕的;极度的
territory /‘teritəri/ n.领土，版图;领域
terror /‘terə/ n.恐怖，惊骇
textile /‘tekstail/ n.纺织品a.纺织的
theoretical /θiə’retikəl/ a.理论(上)的
thereby /‘ðeə’bai/ ad.因此，从而，由此
therefore /‘ðeəfɔ:/ ad.因此，所以【绝对不可以直接连接两个独立的句子】
thermometer /θə’mɔmitə/ n.温度计，寒暑表
thickness /‘θiknis/ n.厚(度);密(度)
thorough /‘θΛrə/ a.彻底的;详尽的
thoughtful /‘θɔ:tful/ a.沉思的;体贴的
thread /θred/ n.线;丝;螺纹;头绪
threat /θret/ n.威胁，恐吓，凶兆
threaten /‘θretn/ vt.&vi.威胁，恐吓
thrive /θraiv/ vi.兴旺，繁荣，旺盛
throat /θrəut/ n.咽喉，喉咙;嗓音
throughout /θru:’aut/ prep.遍及ad.到处
thrust /θrΛst/ vt.插，刺n.插;讽刺
thunder /‘θΛndə/ n.雷vi.打雷vt.吼出
thus /ðΛs/ ad.如此，这样;因而
tide /taid/ n.潮，潮汐;潮流
tidy /‘taidi/ a.整洁的;整齐的
